,result,director,first_hero,second_hero,first_heroien,second_heroien,multi_starer,music,back_ground,cinematographer,editor,audio,songs,genre,production_no1,production_no2,production_no3,combined_production,distributed_by,month,run_time,art_director,fight_master_one,fight_master_two,fight_master_three,poster,budget
34,flop,new,new,no hero,new,new,no,level-8,new,more than one,new,aditya music,less than6,q,new,no one,no one,no,low,october,120 and above,new,no one,level-5,no one,level-2,very low
35,flop,seasonal,new,no hero,level-10,no heroien,no,more than one,level-6,level-15,new,mango music,less than6,a,level-12,no one,no one,no,top,may,120 and above,level-9,no one,level-5,no one,level-2,very low
36,flop,seasonal,new,no hero,new,no heroien,no,new,new,level-13,level-10,mango music,less than6,l,new,no one,no one,no,low,october,130 and above,new,new,no one,no one,new,very low
37,flop,seasonal,no hero,level-10,new,no heroien,no,level-9,level-9,new,level-9,lahari music,less than6,d,new,new,no one,yes,low,november,150 and above,new,no one,level-4,level-3,level-1,medium
38,hit,level-13,new,level-9,new,no heroien,yes,level-9,level-7,level-9,new,silly monks,less than6,m,new,new,level-14,yes,top,november,150 and above,level-5,new,level-4,no one,level-1,medium
39,average,new,level-10,no hero,level-8,new,no,level-6,level-6,new,level-6,lahari music,less than6,l,no one,new,no one,no,top,march,120 and above,level-2,no one,no one,level-4,new,medium
40,flop,new,level-14,no hero,no heroien,level-10,no,level-8,level-8,new,level-4,mango music,less than6,l,new,no one,no one,no,low,march,150 and above,level-7,new,no one,no one,level-1,very low
41,flop,new,level-9,level-12,seasonal,new,yes,level-7,level-7,level-11,level-2,aditya music,less than6,o,new,new,no one,yes,low,november,130 and above,level-5,new,no one,no one,new,very low
42,average,new,new,no hero,new,no heroien,no,new,new,more than one,new,sony,less than6,l,new,new,no one,yes,top,november,130 and above,new,no fights,no one,no one,new,low
43,hit,new,new,no hero,new,no heroien,no,new,new,level-13,level-3,sony,less than6,ab,new,no one,no one,no,top,december,130 and above,level-1,new,no one,no one,new,medium
44,average,new,new,no hero,seasonal,seasonal,no,level-9,level-9,level-6,level-1,sekhara audio,less than6,q,new,no one,no one,no,low,december,below 120,new,level-1,level-5,level-5,level-2,low
45,average,level-16,seasonal,no hero,seasonal,no heroien,no,level-10,level-10,level-3,level-1,more than one,less than6,z,level-14,no one,no one,no,top,october,120 and above,level-3,no one,level-2,no one,level-1,medium
46,flop,level-17,level-13,level-12,new,seasonal,yes,level-5,level-5,new,level-6,aditya music,less than6,b,new,new,new,yes,normal,october,120 and above,level-9,level-4,new,new,level-1,medium
47,average,new,new,no hero,seasonal,no heroien,no,new,new,new,level-7,aditya music,less than6,l,new,new,no one,yes,normal,november,120 and above,new,no fights,no one,no one,new,low
48,flop,level-14,seasonal,no hero,level-12,new,no,new,new,level-9,level-4,noaudio,nosongs,o,no one,level-12,no one,no,top,november,below 120,level-9,no fights,no one,no one,level-3,very low
49,average,seasonal,level-9,no hero,no heroien,level-6,no,level-4,level-4,new,level-2,lahari music,less than6,b,new,no one,no one,no,normal,november,130 and above,level-3,no one,no one,level-2,level-1,medium
50,average,level-12,no hero,level-10,level-6,no heroien,no,level-6,level-6,level-6,level-3,shreyas music,less than6,d,new,no one,no one,no,normal,november,120 and above,level-4,level-2,no one,no one,level-2,medium
51,flop,level-6,level-3,no hero,level-9,level-8,no,level-2,level-2,level-6,level-9,aditya music,less than6,c,no one,new,level-7,yes,top,december,150 and above,level-5,level-1,level-4,no one,level-2,high
52,average,level-9,level-3,level-5,level-4,level-5,yes,level-1,level-1,level-4,level-3,aditya music,less than6,d,level-9,level-2,no one,yes,top,december,130 and above,level-4,level-1,level-3,level-1,level-1,high
53,flop,level-15,level-11,no hero,level-5,no heroien,no,level-3,level-3,level-2,level-2,aditya music,exactly 6,l,level-1,no one,no one,no,top,december,120 and above,level-3,no fights,no one,no one,level-1,medium
54,super hit,level-5,level-5,no hero,no heroien,level-4,no,level-1,level-1,new,level-1,lahari music,less than6,x,no one,level-8,level-2,yes,top,december,130 and above,level-3,no one,level-2,no one,level-1,high
